DAY,TIME_OF_DAY,MEDIAN,LOWER_BOUND,UPPER_BOUND
12-Mar-2015,00:00:00,0.006,0.003,0.008
12-Mar-2015,01:00:00,0.003,0.002,0.005
12-Mar-2015,02:00:00,0.002,0.001,0.004
12-Mar-2015,03:00:00,0.002,0.001,0.003
12-Mar-2015,04:00:00,0.003,0.002,0.003
12-Mar-2015,05:00:00,0.006,0.004,0.007
12-Mar-2015,06:00:00,0.019,0.016,0.023
12-Mar-2015,07:00:00,0.078,0.059,0.092
12-Mar-2015,08:00:00,0.124,0.1,0.151
12-Mar-2015,09:00:00,0.082,0.067,0.096
12-Mar-2015,10:00:00,0.058,0.051,0.066
12-Mar-2015,11:00:00,0.058,0.047,0.066
12-Mar-2015,12:00:00,0.058,0.047,0.066
12-Mar-2015,13:00:00,0.058,0.051,0.066
12-Mar-2015,14:00:00,0.058,0.051,0.066
12-Mar-2015,15:00:00,0.066,0.055,0.073
12-Mar-2015,16:00:00,0.052,0.046,0.058
12-Mar-2015,17:00:00,0.062,0.055,0.073
12-Mar-2015,18:00:00,0.066,0.055,0.073
12-Mar-2015,19:00:00,0.045,0.035,0.054
12-Mar-2015,20:00:00,0.035,0.03,0.042
12-Mar-2015,21:00:00,0.029,0.023,0.034
12-Mar-2015,22:00:00,0.02,0.016,0.023
12-Mar-2015,23:00:00,0.01,0.007,0.013
